accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Borrowing,FALSE,Middle Market,Hedge Funds,Rohit Sharma,10-07-2023,AU,197361,273008,296653,518701,Existing group relationship.,Sarah Lee,21-12-2020,Liquidity provider,DE,Auto disqualified,1,Prospect_1,User Referral,Portfolio,Portfolio,Subsidiary,Converted,62414.56,14818.11,25070.93,CASE100263,,Complete,Medium,SINGAPORE,Open,30-08-2020,04-12-2025,01-02-2023,Pending additional KYC documentation from client.,New Business,Refresh KYC,FALSE
Non-Borrowing,FALSE,Local Corporate,Middle Markets,Rohit Sharma,31-05-2021,GB,291016,722762,236458,532299,Strong revenue potential.,Amit Singh,07-05-2023,Transaction participation counterparty / SPV,AU,Client decision,1,Prospect_1,Self,Gold,Portfolio,Subsidiary,Converted,62431.08,133290.02,41812.62,CASE103279,,Complete,Medium,HONG KONG,Closed,17-01-2020,30-03-2022,23-06-2020,Client onboarding completed successfully.,Refresh KYC,New Business,TRUE
Borrowing,FALSE,Global Corporate,Finance Companies,Kunal Mehta,23-06-2020,SG,815110,464305,431110,402006,Strong revenue potential.,Emily Davis,15-12-2022,Liquidity provider,US,Auto disqualified,1,Prospect_1,Self,Silver,Gold,Subsidiary,Onboarding In Progress,67181.29,51549.5,64603.89,CASE106431,,Validation,High,HONG KONG,Open,01-07-2025,17-05-2021,07-01-2020,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,FALSE
Borrowing,FALSE,Middle Market,Global Subsidiaries GC,Emily Davis,10-11-2025,US,662572,283044,436342,398854,Client meets all KYC requirements.,Lisa Wong,13-11-2022,None,IN,Client decision,1,Prospect_1,User Referral,Disqualified,Portfolio,Subsidiary,Converted,2836.23,113571.93,165236.54,CASE106519,,Complete,High,INDIA,Closed,21-03-2022,11-12-2020,27-02-2025,Pending additional KYC documentation from client.,New Business,New Business,TRUE
Borrowing,TRUE,Global Corporate,Hedge Funds,Emily Davis,02-02-2023,GB,147893,576404,289386,790141,Client meets all KYC requirements.,Rohit Sharma,12-02-2023,Transaction participation counterparty / SPV,DE,Auto disqualified,1,Prospect_1,User Referral,Qualified,Platinum,Group,Converted,48854.72,11592.96,97798.75,CASE108145,,Business Acceptance,Medium,HONG KONG,Closed,31-12-2024,18-01-2021,15-06-2022,Client classified as low risk after initial screening.,Refresh KYC,New Business,TRUE
Borrowing,TRUE,Global Corporate,FI - Financial Sponsors,Maria Garcia,31-01-2023,HK,483451,938984,607881,294900,Strong revenue potential.,David Chen,11-12-2020,Co-Borrower / Guarantor,HK,Client decision,2,Prospect_2,Self,Gold,Portfolio,Group,Onboarding In Progress,96573.68,17819.37,13472.82,CASE101114,,Business Acceptance,High,SINGAPORE,Closed,27-12-2021,03-03-2023,08-06-2024,"High potential client, fast-track onboarding recommended.",New Business,New Business,TRUE
Borrowing,FALSE,Middle Market,Origination GC,John Mathews,06-08-2024,US,681875,749438,578069,915756,High strategic importance.,Maria Garcia,18-10-2021,Transaction participation counterparty / SPV,SG,Client decision,2,Prospect_2,Self,Converted,Portfolio,Standalone,Converted,51360.44,83500.74,90356.01,CASE102912,LE200003,Validation,Medium,SINGAPORE,Open,19-05-2022,17-06-2020,15-04-2023,Client classified as low risk after initial screening.,Refresh KYC,New Business,TRUE
Non-Borrowing,TRUE,Middle Market,Fintech - Other,Priya Nair,10-11-2025,DE,609102,808407,376624,474474,Existing group relationship.,Sarah Lee,23-04-2025,Transaction participation counterparty / SPV,AU,Auto disqualified,2,Prospect_2,User Referral,Silver,Portfolio,Subsidiary,Draft,69896.83,8177.47,124461.88,CASE103297,,Complete,High,SINGAPORE,Open,20-10-2022,12-07-2025,12-01-2022,Client onboarding completed successfully.,New Business,Refresh KYC,FALSE
Non-Borrowing,FALSE,Middle Market,Fintech - Other,Maria Garcia,23-05-2020,GB,289100,465891,711019,931030,Existing group relationship.,Amit Singh,28-06-2020,Transaction participation counterparty / SPV,GB,Client decision,2,Prospect_2,User Referral,Silver,Portfolio,Standalone,Qualify,72347.14,39134.2,150136.08,CASE104566,,Business Acceptance,Low,SINGAPORE,Closed,19-06-2023,22-12-2023,17-11-2022,Client onboarding completed successfully.,Refresh KYC,New Business,FALSE
Non-Borrowing,TRUE,Middle Market,Middle Markets,John Mathews,10-01-2022,US,224467,969557,193165,891179,High strategic importance.,Priya Nair,17-11-2024,Liquidity provider,IN,Auto disqualified,2,Prospect_2,Self,Qualified,Portfolio,Group,Converted,11325.02,94015.29,29146.83,CASE105211,,Complete,Medium,INDIA,Open,22-08-2021,22-04-2025,22-12-2022,Client onboarding completed successfully.,New Business,Refresh KYC,TRUE
Non-Borrowing,FALSE,Financial Institution,Hedge Funds,Rohit Sharma,06-07-2023,GB,931485,228138,334661,376171,Strong revenue potential.,Kunal Mehta,14-12-2021,None,SG,Auto disqualified,2,Prospect_2,User Referral,Silver,Platinum,Group,Draft,6030.67,62191.06,95171.6,CASE106979,,Business Acceptance,Medium,HONG KONG,Closed,08-01-2023,03-01-2024,11-08-2024,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,TRUE
