accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Borrowing,True,Financial Institution,Middle Markets,Kunal Mehta,2021-04-01,GB,626797,134811,324942,738137,Strong revenue potential.,Priya Nair,2020-01-14,Co-Borrower / Guarantor,SG,Auto disqualified,261,Prospect_261,Self,Disqualified,Portfolio,Standalone,Qualify,63605.65,50816.96,171363.28,CASE100001,,Business Acceptance,High,SINGAPORE,Open,2023-02-21,2021-05-31,2025-09-02,Pending additional KYC documentation from client.,New Business,Refresh KYC,True
Non-Borrowing,False,Middle Market,Fintech - Other,Priya Nair,2020-04-12,GB,430352,487188,561900,207070,Strong revenue potential.,Priya Nair,2025-10-15,Co-Borrower / Guarantor,US,Auto disqualified,2623,Prospect_2623,User Referral,Gold,Portfolio,Subsidiary,Draft,48259.39,94757.89,1864.24,CASE100002,,Business Acceptance,Low,HONG KONG,Open,2022-03-20,2022-01-12,2024-04-04,Client onboarding completed successfully.,Refresh KYC,New Business,False
Borrowing,True,Middle Market,Fintech - Other,David Chen,2023-01-31,SG,360200,500897,615816,971724,Existing group relationship.,Amit Singh,2025-11-04,Co-Borrower / Guarantor,DE,Auto disqualified,1354,Prospect_1354,User Referral,Lead,Platinum,Standalone,Draft,89347.97,31663.8,164224.71,CASE100003,,Validation,Medium,INDIA,Closed,2023-08-28,2022-07-23,2024-07-12,Client classified as low risk after initial screening.,New Business,Refresh KYC,True
Borrowing,False,Global Corporate,Finance Companies,Emily Davis,2022-09-30,HK,840722,587292,327135,738177,Client meets all KYC requirements.,David Chen,2021-01-03,Transaction participation counterparty / SPV,AU,Auto disqualified,1195,Prospect_1195,User Referral,Silver,Platinum,Group,Draft,67617.67,678.95,10793.86,CASE100004,,Business Acceptance,Medium,INDIA,Closed,2024-07-11,2021-11-27,2020-08-16,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Borrowing,False,Local Corporate,Origination GC,John Mathews,2022-07-03,IN,693982,787074,764261,991104,Client meets all KYC requirements.,Emily Davis,2021-05-11,Co-Borrower / Guarantor,US,Client decision,600,Prospect_600,User Referral,Converted,Portfolio,Subsidiary,Converted,98.37,79605.54,155182.34,CASE100005,LE200601,Validation,Medium,INDIA,Open,2025-02-20,2020-05-16,2025-01-30,Onboarding delayed due to missing tax documents.,New Business,New Business,False
Non-Borrowing,True,Middle Market,Origination GC,Emily Davis,2021-07-25,AU,284345,299722,750594,600918,High strategic importance.,Emily Davis,2022-10-29,None,HK,Auto disqualified,2287,Prospect_2287,Self,Silver,Platinum,Standalone,Qualify,97190.04,53128.24,197985.21,CASE100006,,Validation,Low,INDIA,Closed,2020-03-27,2025-06-05,2020-08-27,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,False
Borrowing,False,Global Corporate,Middle Markets,Amit Singh,2021-02-23,AU,997024,874214,670622,499520,Strong revenue potential.,Rohit Sharma,2021-05-02,Transaction participation counterparty / SPV,HK,Client decision,843,Prospect_843,Self,Qualified,Platinum,Group,Qualify,71364.88,34802.65,149293.25,CASE100007,,Validation,High,HONG KONG,Closed,2021-06-13,2022-10-18,2022-02-04,Client classified as low risk after initial screening.,New Business,New Business,True
Borrowing,False,Financial Institution,Financial Sponsors - Portfolio Companies,Emily Davis,2020-12-22,HK,483069,361263,580923,338653,Existing group relationship.,Rohit Sharma,2024-07-21,None,HK,Auto disqualified,546,Prospect_546,Self,Gold,Portfolio,Standalone,Draft,48262.96,121130.29,106845.23,CASE100008,,Complete,High,SINGAPORE,Open,2025-01-16,2025-11-15,2023-10-10,Pending additional KYC documentation from client.,New Business,Refresh KYC,False
Borrowing,True,Financial Institution,Local Corporates,Lisa Wong,2024-09-24,GB,746002,801781,527923,311878,High strategic importance.,Emily Davis,2020-01-11,Liquidity provider,IN,Auto disqualified,856,Prospect_856,User Referral,Gold,Platinum,Subsidiary,Onboarding In Progress,1526.69,105364.62,26305.29,CASE100009,,Business Acceptance,High,HONG KONG,Open,2025-07-04,2023-08-10,2020-04-05,Client classified as low risk after initial screening.,New Business,Refresh KYC,True
Non-Borrowing,True,Financial Institution,Global Subsidiaries GC,Emily Davis,2020-05-10,SG,393315,760213,469619,608300,Strong revenue potential.,Emily Davis,2020-04-04,Co-Borrower / Guarantor,US,Client decision,1800,Prospect_1800,User Referral,Lead,Portfolio,Standalone,Qualify,4542.26,97157.81,11503.38,CASE100010,,Business Acceptance,Medium,SINGAPORE,Closed,2021-11-09,2025-04-27,2025-02-12,Client onboarding completed successfully.,Refresh KYC,New Business,True
Borrowing,True,Financial Institution,Local Corporates,Maria Garcia,2020-05-02,HK,910957,192955,813128,331240,High strategic importance.,Amit Singh,2021-01-13,Liquidity provider,IN,Auto disqualified,2297,Prospect_2297,Self,Portfolio,Platinum,Group,Draft,96800.05,145372.58,80673.64,CASE100011,,Validation,High,INDIA,Open,2025-09-26,2020-08-30,2024-04-12,Pending additional KYC documentation from client.,New Business,New Business,False
Borrowing,True,Global Corporate,Local Corporates,David Chen,2021-01-18,GB,388657,337471,367267,212012,Client meets all KYC requirements.,Sarah Lee,2024-04-23,Co-Borrower / Guarantor,IN,Client decision,1452,Prospect_1452,User Referral,Qualified,Gold,Subsidiary,Onboarding In Progress,79615.36,98189.59,82356.04,CASE100012,,Complete,Low,SINGAPORE,Closed,2025-03-02,2023-05-31,2024-10-17,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Borrowing,False,Local Corporate,Origination GC,Kunal Mehta,2022-06-14,GB,499013,389606,311157,384900,High strategic importance.,Lisa Wong,2021-09-15,Transaction participation counterparty / SPV,DE,Client decision,2456,Prospect_2456,User Referral,Lead,Gold,Subsidiary,Converted,9688.33,109484.38,46961.12,CASE100013,,Validation,High,SINGAPORE,Closed,2020-10-17,2022-04-28,2024-10-13,Client classified as low risk after initial screening.,Refresh KYC,New Business,False
Borrowing,True,Global Corporate,Origination GC,Maria Garcia,2022-08-10,DE,329673,686453,428471,836166,Strong revenue potential.,Emily Davis,2022-08-20,Transaction participation counterparty / SPV,IN,Client decision,1154,Prospect_1154,User Referral,Silver,Gold,Subsidiary,Converted,74804.37,38682.31,80057.84,CASE100014,,Validation,High,INDIA,Open,2023-07-29,2021-03-05,2020-07-01,Client onboarding completed successfully.,New Business,Refresh KYC,False
Non-Borrowing,True,Local Corporate,Fintech - Other,Amit Singh,2025-08-31,AU,230467,485130,775896,865287,Strong revenue potential.,Amit Singh,2021-07-22,Liquidity provider,DE,Client decision,904,Prospect_904,Self,Gold,Platinum,Group,Draft,17273.49,114444.79,57896.18,CASE100015,,Validation,Medium,SINGAPORE,Open,2024-04-09,2022-10-15,2024-05-02,Enhanced due diligence recommended based on risk factors.,New Business,New Business,True
